cohort,n_animals,reserve_organs,R2,RMSE,MAE
modeled_time_test,16,8,0.9625059962272644,1.5930253419650366,0.8151004910469055
modeled_time_test,16,7,0.959680438041687,1.6519600352794255,0.8677648305892944
modeled_time_test,16,6,0.9602534174919128,1.6401806184118242,0.9055380821228027
modeled_time_test,16,5,0.9586042165756226,1.6738619539454527,0.9273872375488281
modeled_time_test,16,4,0.9492368698120117,1.8535998117282988,1.0565764904022217
modeled_time_test,16,3,0.9401523470878601,2.0126360829470316,1.1958500146865845
modeled_time_test,16,2,0.9196397066116333,2.332181737188043,1.4604220390319824
modeled_time_test,16,1,0.8197128772735596,3.493205014000241,2.227094888687134
modeled_time_test,16,Test,0.9337232112884521,2.1179824969367247,1.181966781616211
unseen_time_test,8,8,0.8983947038650513,2.3906691802685884,1.9476534128189087
unseen_time_test,8,7,0.8866706490516663,2.524831853121242,2.0690760612487793
unseen_time_test,8,6,0.8902191519737244,2.4849897859543826,2.0343737602233887
unseen_time_test,8,5,0.8624061346054077,2.782023718721158,2.235974073410034
unseen_time_test,8,4,0.8771659135818481,2.628577564658828,2.019744396209717
unseen_time_test,8,3,0.8415606617927551,2.985333353722683,2.3429627418518066
unseen_time_test,8,2,0.7624948024749756,3.6550883216466996,2.8517119884490967
unseen_time_test,8,1,0.4545353651046753,5.539168901591766,3.7725956439971924
unseen_time_test,8,Test,0.8091809153556824,3.2762136409158136,2.409261465072632
combined_test,24,8,0.9437389373779297,1.8965546489860439,1.1926180124282837
combined_test,24,7,0.9438914060592651,1.8939831127553877,1.2325750589370728
combined_test,24,6,0.9343327879905701,2.0489706711687736,1.3111759424209595
combined_test,24,5,0.9271020889282227,2.1588323858164737,1.3777954578399658
combined_test,24,4,0.9360734224319458,2.021631915471769,1.3282973766326904
combined_test,24,3,0.8992009162902832,2.5385732326076416,1.6773264408111572
combined_test,24,2,0.9039492607116699,2.4780601040784,1.755719780921936
combined_test,24,1,0.8098510503768921,3.486650211618761,2.4545862674713135
combined_test,24,Test,0.9122675061225891,2.3683271528893117,1.5412617921829224
