cohort,organ,mean,std,median,min,max
modeled_time_test,Brain,0.14275180641561747,0.00018511356649230005,0.14281953126192093,0.142145574092865,0.14285114407539368
modeled_time_test,Heart,0.14275180641561747,0.00018511356649230005,0.14281953126192093,0.142145574092865,0.14285114407539368
modeled_time_test,Kidney,0.14275180641561747,0.00018511356649230005,0.14281953126192093,0.142145574092865,0.14285114407539368
modeled_time_test,Liver,0.14275180641561747,0.00018511356649230005,0.14281953126192093,0.142145574092865,0.14285114407539368
modeled_time_test,Lung,0.14275180641561747,0.00018511356649230005,0.14281953126192093,0.142145574092865,0.14285114407539368
modeled_time_test,Muscle,0.14275180641561747,0.00018511356649230005,0.14281953126192093,0.142145574092865,0.14285114407539368
modeled_time_test,Spleen,0.14275180641561747,0.00018511356649230005,0.14281953126192093,0.142145574092865,0.14285114407539368
modeled_time_test,VH,0.0007373588252903573,0.0012957948174805829,0.00026328056992497295,4.197514499537647e-05,0.004980996251106262
unseen_time_test,Brain,0.140616025775671,0.006309027289179082,0.14284756779670715,0.12500198185443878,0.14284983277320862
unseen_time_test,Heart,0.140616025775671,0.006309027289179082,0.14284756779670715,0.12500198185443878,0.14284983277320862
unseen_time_test,Kidney,0.140616025775671,0.006309027289179082,0.14284756779670715,0.12500198185443878,0.14284983277320862
unseen_time_test,Liver,0.140616025775671,0.006309027289179082,0.14284756779670715,0.12500198185443878,0.14284983277320862
unseen_time_test,Lung,0.140616025775671,0.006309027289179082,0.14284756779670715,0.12500198185443878,0.14284983277320862
unseen_time_test,Muscle,0.140616025775671,0.006309027289179082,0.14284756779670715,0.12500198185443878,0.14284983277320862
unseen_time_test,Spleen,0.140616025775671,0.006309027289179082,0.14284756779670715,0.12500198185443878,0.14284983277320862
unseen_time_test,VH,0.015687819566210237,0.04416321812148967,6.701275560772046e-05,5.1121962314937264e-05,0.1249861940741539
