metric,method,term,estimate,standard_error,ci95_low,ci95_high,p,q,significant_q_0.05
Val_RMSE,OLS with split-clustered robust covariance,C(branch)[T.USB],-0.16912741100000017,0.09739879102658469,-0.3600255335498492,0.02177071154984883,0.08248560342351827,0.22496073660959529,False
Val_RMSE,OLS with split-clustered robust covariance,C(attention)[T.WMHA],-1.018828325999999,0.16609271187006147,-1.3443640593599078,-0.6932925926400902,8.56458085824547e-10,3.2117178218420514e-09,True
Val_RMSE,OLS with split-clustered robust covariance,C(aggregation)[T.AWA],0.06241767500000078,0.08753290650084744,-0.10914366920377216,0.23397901920377373,0.4757983044415728,0.6797118634879612,False
Val_RMSE,OLS with split-clustered robust covariance,C(training)[T.MORM],-1.2969776034999998,0.10438625252092538,-1.501570898922117,-1.0923843080778826,1.9172149129003254e-35,5.751644738700976e-34,True
Val_RMSE,OLS with split-clustered robust covariance,C(branch)[T.USB]:C(attention)[T.WMHA],-0.04001552050000058,0.06721443646802099,-0.17175339521847732,0.09172235421847615,0.5516154488028642,0.7194984114819967,False
Val_RMSE,OLS with split-clustered robust covariance,C(branch)[T.USB]:C(aggregation)[T.AWA],-0.05251820249999978,0.0665097515050579,-0.18287492007062192,0.07783851507062237,0.4297429392044504,0.6785414829543954,False
Val_RMSE,OLS with split-clustered robust covariance,C(branch)[T.USB]:C(training)[T.MORM],0.050722334499999404,0.0792555642373086,-0.10461571697952618,0.206060385979525,0.5221826611955853,0.7120672652667073,False
Val_RMSE,OLS with split-clustered robust covariance,C(attention)[T.WMHA]:C(aggregation)[T.AWA],-0.0003765125000000612,0.09201311658201218,-0.18071890710602917,0.17996588210602904,0.9967351103461481,0.9967351103461481,False
Val_RMSE,OLS with split-clustered robust covariance,C(attention)[T.WMHA]:C(training)[T.MORM],1.1002258545000003,0.1290966494849746,0.8472010709846588,1.353250638015342,1.5614921117915787e-17,1.1711190838436841e-16,True
Val_RMSE,OLS with split-clustered robust covariance,C(aggregation)[T.AWA]:C(training)[T.MORM],-0.050413647500001824,0.05082205622402378,-0.15002304731935812,0.04919575231935448,0.32121511272077463,0.5381179456761725,False
