cohort,organ,checkpoint_mean,checkpoint_sd,checkpoint_min,checkpoint_max
modeled_time_test,Brain,0.1369101137854159,0.005624148412227004,0.1253859642893076,0.14285275619477034
modeled_time_test,Heart,0.1369100890122354,0.005624359746346797,0.1253859642893076,0.1428527645766735
modeled_time_test,Kidney,0.1369101298507303,0.00562443390913467,0.12538522947579622,0.1428527645766735
modeled_time_test,Liver,0.13691042675636708,0.00562408797210923,0.1253859642893076,0.1428527645766735
modeled_time_test,Lung,0.13691043751314283,0.005624070632063276,0.1253859642893076,0.1428527645766735
modeled_time_test,Muscle,0.13691044496372343,0.005624067636062152,0.1253859642893076,0.1428527645766735
modeled_time_test,Spleen,0.13691044254228474,0.00562407174205489,0.12538596242666245,0.1428527645766735
modeled_time_test,VH,0.04162791707584477,0.0393692394422917,3.064311933531627e-05,0.12229898385703564
unseen_time_test,Brain,0.13476013028994202,0.006408793957203924,0.1250686552375555,0.14062443934381008
unseen_time_test,Heart,0.1347562065348029,0.006411804135843819,0.1250686552375555,0.14062444306910038
unseen_time_test,Kidney,0.13475332446396351,0.006414028254196517,0.1250686552375555,0.14062444306910038
unseen_time_test,Liver,0.13476000605151056,0.006408891231716563,0.12506864499300718,0.14062444306910038
unseen_time_test,Lung,0.13476013503968715,0.006408786226771895,0.1250686552375555,0.14062444306910038
unseen_time_test,Muscle,0.13476014714688062,0.006408782501273631,0.1250686552375555,0.14062444306910038
unseen_time_test,Spleen,0.13476014528423547,0.006408785741063495,0.1250686552375555,0.14062444306910038
unseen_time_test,VH,0.05668990859542148,0.04486983983172294,0.015628910933896734,0.12451945059001446
