checkpoint,cohort,PMI,animal_within_PMI,organ,AWA_weight
fold3.pth,modeled_time_test,12.0,3,Brain,0.1422669142484665
fold3.pth,modeled_time_test,12.0,4,Brain,0.14180472493171692
fold3.pth,modeled_time_test,18.0,2,Brain,0.1416003257036209
fold3.pth,modeled_time_test,18.0,6,Brain,0.14198307693004608
fold3.pth,modeled_time_test,24.0,3,Brain,0.125
fold3.pth,modeled_time_test,24.0,6,Brain,0.127680242061615
fold3.pth,unseen_time_test,0.33333,1,Brain,0.1426296979188919
fold3.pth,unseen_time_test,0.33333,2,Brain,0.1426226645708084
fold3.pth,unseen_time_test,4.0,1,Brain,0.1424551010131836
fold3.pth,unseen_time_test,4.0,2,Brain,0.14255790412425995
fold3.pth,unseen_time_test,11.0,1,Brain,0.1426253318786621
fold3.pth,unseen_time_test,11.0,2,Brain,0.14254917204380035
fold3.pth,unseen_time_test,20.0,1,Brain,0.14274008572101593
fold3.pth,unseen_time_test,20.0,2,Brain,0.125
fold4.pth,modeled_time_test,0.5,2,Brain,0.14173616468906403
fold4.pth,modeled_time_test,0.5,3,Brain,0.125
fold4.pth,modeled_time_test,1.0,4,Brain,0.12508928775787354
fold4.pth,modeled_time_test,1.0,8,Brain,0.14153754711151123
fold4.pth,modeled_time_test,2.0,7,Brain,0.1250040978193283
fold4.pth,modeled_time_test,2.0,8,Brain,0.14284859597682953
fold4.pth,modeled_time_test,3.0,1,Brain,0.1250000149011612
fold4.pth,modeled_time_test,3.0,8,Brain,0.12567220628261566
fold4.pth,modeled_time_test,6.0,1,Brain,0.13491475582122803
fold4.pth,modeled_time_test,6.0,10,Brain,0.12500007450580597
fold4.pth,modeled_time_test,12.0,3,Brain,0.13926704227924347
fold4.pth,modeled_time_test,12.0,4,Brain,0.1310541033744812
fold4.pth,modeled_time_test,18.0,2,Brain,0.12747722864151
fold4.pth,modeled_time_test,18.0,6,Brain,0.1428564488887787
fold4.pth,modeled_time_test,24.0,3,Brain,0.125
fold4.pth,modeled_time_test,24.0,6,Brain,0.125
fold4.pth,unseen_time_test,0.33333,1,Brain,0.1250000149011612
fold4.pth,unseen_time_test,0.33333,2,Brain,0.125
fold4.pth,unseen_time_test,4.0,1,Brain,0.12500007450580597
fold4.pth,unseen_time_test,4.0,2,Brain,0.1250000149011612
fold4.pth,unseen_time_test,11.0,1,Brain,0.1250000149011612
fold4.pth,unseen_time_test,11.0,2,Brain,0.12500041723251343
fold4.pth,unseen_time_test,20.0,1,Brain,0.12554869055747986
fold4.pth,unseen_time_test,20.0,2,Brain,0.1250000149011612
fold5.pth,modeled_time_test,0.5,2,Brain,0.14284095168113708
fold5.pth,modeled_time_test,0.5,3,Brain,0.14285114407539368
fold5.pth,modeled_time_test,1.0,4,Brain,0.14284789562225342
fold5.pth,modeled_time_test,1.0,8,Brain,0.14284853637218475
fold5.pth,modeled_time_test,2.0,7,Brain,0.14283129572868347
fold5.pth,modeled_time_test,2.0,8,Brain,0.14277420938014984
fold5.pth,modeled_time_test,3.0,1,Brain,0.14280474185943604
fold5.pth,modeled_time_test,3.0,8,Brain,0.14285045862197876
fold5.pth,modeled_time_test,6.0,1,Brain,0.14281603693962097
fold5.pth,modeled_time_test,6.0,10,Brain,0.14284837245941162
fold5.pth,modeled_time_test,12.0,3,Brain,0.1428230255842209
fold5.pth,modeled_time_test,12.0,4,Brain,0.14276838302612305
fold5.pth,modeled_time_test,18.0,2,Brain,0.14271575212478638
fold5.pth,modeled_time_test,18.0,6,Brain,0.14277543127536774
