checkpoint,cohort,organ,AWA_weight
fold6.pth,modeled_time_test,Kidney,0.1327798548154533
fold6.pth,modeled_time_test,Liver,0.13278222223743796
fold6.pth,modeled_time_test,Lung,0.1327822832390666
fold6.pth,modeled_time_test,Muscle,0.13278230372816324
fold6.pth,modeled_time_test,Spleen,0.13278224878013134
fold6.pth,modeled_time_test,VH,0.07053008326329291
fold6.pth,unseen_time_test,Brain,0.13035411573946476
fold6.pth,unseen_time_test,Heart,0.13031486421823502
fold6.pth,unseen_time_test,Kidney,0.13028604164719582
fold6.pth,unseen_time_test,Liver,0.13035286776721478
fold6.pth,unseen_time_test,Lung,0.13035427406430244
fold6.pth,unseen_time_test,Muscle,0.130354268476367
fold6.pth,unseen_time_test,Spleen,0.13035427778959274
fold6.pth,unseen_time_test,VH,0.0876292761217431
fold7.pth,modeled_time_test,Brain,0.14285275619477034
fold7.pth,modeled_time_test,Heart,0.1428527645766735
fold7.pth,modeled_time_test,Kidney,0.1428527645766735
fold7.pth,modeled_time_test,Liver,0.1428527645766735
fold7.pth,modeled_time_test,Lung,0.1428527645766735
fold7.pth,modeled_time_test,Muscle,0.1428527645766735
fold7.pth,modeled_time_test,Spleen,0.1428527645766735
fold7.pth,modeled_time_test,VH,3.064311933531627e-05
fold7.pth,unseen_time_test,Brain,0.14062443934381008
fold7.pth,unseen_time_test,Heart,0.14062444306910038
fold7.pth,unseen_time_test,Kidney,0.14062444306910038
fold7.pth,unseen_time_test,Liver,0.14062444306910038
fold7.pth,unseen_time_test,Lung,0.14062444306910038
fold7.pth,unseen_time_test,Muscle,0.14062444306910038
fold7.pth,unseen_time_test,Spleen,0.14062444306910038
fold7.pth,unseen_time_test,VH,0.015628910933896734
fold8.pth,modeled_time_test,Brain,0.14033942762762308
fold8.pth,modeled_time_test,Heart,0.14033942762762308
fold8.pth,modeled_time_test,Kidney,0.14033942762762308
fold8.pth,modeled_time_test,Liver,0.14033942762762308
fold8.pth,modeled_time_test,Lung,0.14033942762762308
fold8.pth,modeled_time_test,Muscle,0.14033942762762308
fold8.pth,modeled_time_test,Spleen,0.14033942762762308
fold8.pth,modeled_time_test,VH,0.01762401494627852
fold8.pth,unseen_time_test,Brain,0.1399719025939703
fold8.pth,unseen_time_test,Heart,0.13997190445661545
fold8.pth,unseen_time_test,Kidney,0.13997190445661545
fold8.pth,unseen_time_test,Liver,0.13997190445661545
fold8.pth,unseen_time_test,Lung,0.13997190445661545
fold8.pth,unseen_time_test,Muscle,0.13997190445661545
fold8.pth,unseen_time_test,Spleen,0.13997190445661545
fold8.pth,unseen_time_test,VH,0.02019667781132739
fold9.pth,modeled_time_test,Brain,0.13758902717381716
fold9.pth,modeled_time_test,Heart,0.13758902717381716
fold9.pth,modeled_time_test,Kidney,0.13758902717381716
fold9.pth,modeled_time_test,Liver,0.13758902717381716
fold9.pth,modeled_time_test,Lung,0.13758902717381716
fold9.pth,modeled_time_test,Muscle,0.13758902717381716
fold9.pth,modeled_time_test,Spleen,0.13758902717381716
fold9.pth,modeled_time_test,VH,0.03687680835901119
fold9.pth,unseen_time_test,Brain,0.13163114339113235
fold9.pth,unseen_time_test,Heart,0.13163114339113235
fold9.pth,unseen_time_test,Kidney,0.13163114339113235
fold9.pth,unseen_time_test,Liver,0.13163114339113235
fold9.pth,unseen_time_test,Lung,0.13163114339113235
fold9.pth,unseen_time_test,Muscle,0.13163114339113235
fold9.pth,unseen_time_test,Spleen,0.13163114339113235
fold9.pth,unseen_time_test,VH,0.07858199719339609
