Organ,Importance,Rank,Importance_%
Liver,2.4258210082722376,1,15.768897932519266
Kidney,2.263717456857456,2,14.715153922535942
Heart,2.101674115726275,3,13.661801305740054
Spleen,1.9530348186047455,4,12.695580839729582
Lung,1.8520166585967075,5,12.038918600815174
Brain,1.7498100945141666,6,11.374531215449515
Muscle,1.6619900615138832,7,10.803662576712535
VH,1.375515657210483,8,8.941453606497939
